step,tag,value
440,train/entropy,-4.016434669494629
440,train/episode_length_steps,855.9464665668899
440,train/fps,64838.26455991976
450,train/reward,1.3246737718582153
450,train/actor_loss,0.02981588803231716
450,train/critic_loss,0.37185850739479065
450,train/entropy,-3.990840196609497
450,train/episode_length_steps,873.0504502092679
450,train/fps,64841.60391080821
460,train/reward,1.3180601596832275
460,train/actor_loss,0.031086985021829605
460,train/critic_loss,0.6718004941940308
460,train/entropy,-3.964273452758789
460,train/episode_length_steps,867.2736735434524
460,train/fps,64942.81758509413
470,train/reward,1.3277875185012817
470,train/actor_loss,0.03062829189002514
470,train/critic_loss,0.3004971444606781
470,train/entropy,-3.947136640548706
470,train/episode_length_steps,1119.0198959333352
470,train/fps,64944.03743719052
480,train/reward,1.3352317810058594
480,train/actor_loss,0.02301972173154354
480,train/critic_loss,0.13307632505893707
480,train/entropy,-4.045487880706787
480,train/episode_length_steps,991.9846862364063
480,train/fps,65037.091601198226
490,train/reward,1.3310527801513672
490,train/actor_loss,0.022005071863532066
490,train/critic_loss,0.21433119475841522
490,train/entropy,-4.072400093078613
490,train/episode_length_steps,890.8519337098286
490,train/fps,65009.31341178972
500,train/reward,1.3303295373916626
500,train/actor_loss,0.02376081608235836
500,train/critic_loss,0.19309934973716736
500,train/entropy,-4.1626386642456055
500,train/episode_length_steps,828.8820049231059
500,train/fps,64938.51625147691
510,train/reward,1.3417377471923828
510,train/actor_loss,0.03223838284611702
510,train/critic_loss,0.1889108270406723
510,train/entropy,-4.316733360290527
510,train/episode_length_steps,1190.1455022611601
510,train/fps,64871.90222102989
520,train/reward,1.3399285078048706
520,train/actor_loss,0.023647848516702652
520,train/critic_loss,0.13061748445034027
520,train/entropy,-4.4116973876953125
520,train/episode_length_steps,1015.0306813839508
520,train/fps,64877.576344072484
530,train/reward,1.3422307968139648
530,train/actor_loss,0.022245198488235474
530,train/critic_loss,0.12250788509845734
530,train/entropy,-4.565979957580566
530,train/episode_length_steps,962.8367577976614
530,train/fps,64951.146153525035
540,train/reward,1.3493080139160156
540,train/actor_loss,0.023501886054873466
540,train/critic_loss,0.11572551727294922
540,train/entropy,-4.63347864151001
540,train/episode_length_steps,1128.6557313446654
540,train/fps,64915.969351697226
550,train/reward,1.343343734741211
550,train/actor_loss,0.02465251460671425
550,train/critic_loss,0.26380157470703125
550,train/entropy,-4.6278276443481445
550,train/episode_length_steps,1073.207643669909
550,train/fps,64905.51334654831
560,train/reward,1.3417017459869385
560,train/actor_loss,0.02365456521511078
560,train/critic_loss,0.18502339720726013
560,train/entropy,-4.68253755569458
560,train/episode_length_steps,823.6732044386656
560,train/fps,64945.06565755423
570,train/reward,1.3497693538665771
570,train/actor_loss,0.028580445796251297
570,train/critic_loss,0.23120558261871338
570,train/entropy,-4.713059425354004
570,train/episode_length_steps,1270.9263799759592
570,train/fps,64780.86831143988
580,train/reward,1.3457175493240356
580,train/actor_loss,0.023795654997229576
580,train/critic_loss,0.08228907734155655
580,train/entropy,-4.7999067306518555
580,train/episode_length_steps,991.9846862364063
580,train/fps,64084.690977608174
590,train/reward,1.3443750143051147
590,train/actor_loss,0.029947374016046524
590,train/critic_loss,0.08407800644636154
590,train/entropy,-4.943309783935547
590,train/episode_length_steps,1148.4339689720955
590,train/fps,62576.5910290033
600,train/reward,1.3490850925445557
600,train/actor_loss,0.02125154249370098
600,train/critic_loss,0.08368947356939316
600,train/entropy,-5.108222961425781
600,train/episode_length_steps,1082.0675309469727
600,train/fps,61991.61019877376
610,train/reward,1.3439708948135376
610,train/actor_loss,0.025959303602576256
610,train/critic_loss,0.10175787657499313
610,train/entropy,-5.262715816497803
610,train/episode_length_steps,896.9481863514969
610,train/fps,61014.893418644584
620,train/reward,1.3468506336212158
620,train/actor_loss,0.031901080161333084
620,train/critic_loss,0.07677903026342392
620,train/entropy,-5.2631025314331055
620,train/episode_length_steps,909.3944711658012
620,train/fps,60791.22315859613
630,train/reward,1.3458771705627441
630,train/actor_loss,0.03508533909916878
630,train/critic_loss,0.15708640217781067
630,train/entropy,-5.2711968421936035
630,train/episode_length_steps,928.7253199635585
630,train/fps,60450.793419590686
640,train/reward,1.3405907154083252
640,train/actor_loss,0.03095264732837677
640,train/critic_loss,0.3762389123439789
640,train/entropy,-5.070024013519287
640,train/episode_length_steps,735.817724153145
640,train/fps,60063.08669279682
650,train/reward,1.3429076671600342
650,train/actor_loss,0.028416967019438744
650,train/critic_loss,0.38840383291244507
650,train/entropy,-4.954266548156738
650,train/episode_length_steps,770.4177635464497
650,train/fps,59940.33349232083
660,train/reward,1.3429474830627441
660,train/actor_loss,0.020948395133018494
660,train/critic_loss,0.18884776532649994
660,train/entropy,-4.89532995223999
660,train/episode_length_steps,922.191032232558
660,train/fps,59818.901844359265
670,train/reward,1.347215175628662
670,train/actor_loss,0.02552979066967964
670,train/critic_loss,0.10030119866132736
670,train/entropy,-4.920201778411865
670,train/episode_length_steps,903.12844929582
670,train/fps,59742.74002740065
680,train/reward,1.3445262908935547
680,train/actor_loss,0.02270638756453991
680,train/critic_loss,0.09277264028787613
680,train/entropy,-4.979503154754639
680,train/episode_length_steps,861.5728416085835
680,train/fps,59222.56625262773
690,train/reward,1.3417351245880127
690,train/actor_loss,0.024776054546236992
690,train/critic_loss,0.14293520152568817
690,train/entropy,-5.0536699295043945
690,train/episode_length_steps,878.9046993506491
690,train/fps,58323.74850201933
700,train/reward,1.3389418125152588
700,train/actor_loss,0.02433839812874794
700,train/critic_loss,0.12869295477867126
700,train/entropy,-5.119838237762451
700,train/episode_length_steps,1128.6557313446654
700,train/fps,58060.60920622435
710,train/reward,1.3378242254257202
710,train/actor_loss,0.02713829278945923
710,train/critic_loss,0.1332419216632843
710,train/entropy,-5.170892238616943
710,train/episode_length_steps,855.9464665668899
710,train/fps,58037.62195725915
720,train/reward,1.3456952571868896
720,train/actor_loss,0.031771428883075714
720,train/critic_loss,0.09015050530433655
720,train/entropy,-5.209350109100342
720,train/episode_length_steps,1168.9177465457567
720,train/fps,57990.47518781128
730,train/reward,1.354079246520996
730,train/actor_loss,0.025657495483756065
730,train/critic_loss,0.12663160264492035
730,train/entropy,-5.2394633293151855
730,train/episode_length_steps,1168.9177465457567
730,train/fps,57899.33045274105
740,train/reward,1.34939444065094
740,train/actor_loss,0.022752076387405396
740,train/critic_loss,0.07656541466712952
740,train/entropy,-5.27766752243042
740,train/episode_length_steps,948.8958429280851
740,train/fps,57831.335143437725
750,train/reward,1.3513723611831665
750,train/actor_loss,0.02628043293952942
750,train/critic_loss,0.10023261606693268
750,train/entropy,-5.294154644012451
750,train/episode_length_steps,999.549519430452
750,train/fps,57807.38914352983
760,train/reward,1.352980375289917
760,train/actor_loss,0.020760614424943924
760,train/critic_loss,0.07258576899766922
760,train/entropy,-5.332326412200928
760,train/episode_length_steps,1246.7484398903493
760,train/fps,57733.79744003657
770,train/reward,1.3524638414382935
770,train/actor_loss,0.025134388357400894
770,train/critic_loss,0.1180894747376442
770,train/entropy,-5.3780646324157715
770,train/episode_length_steps,999.549519430452
770,train/fps,57639.883760834506
780,train/reward,1.3461464643478394
780,train/actor_loss,0.02573534846305847
780,train/critic_loss,0.16068783402442932
780,train/entropy,-5.370131969451904
780,train/episode_length_steps,844.9113276288067
780,train/fps,57626.62197013358
790,train/reward,1.352200984954834
790,train/actor_loss,0.02246040664613247
790,train/critic_loss,0.11216384172439575
790,train/entropy,-5.388487339019775
790,train/episode_length_steps,1082.0675309469727
790,train/fps,57270.890668537344
800,train/reward,1.350066065788269
800,train/actor_loss,0.025161564350128174
800,train/critic_loss,0.08551574498414993
800,train/entropy,-5.403700351715088
800,train/episode_length_steps,999.549519430452
800,train/fps,57154.36804050028
810,train/reward,1.3535581827163696
810,train/actor_loss,0.0253162682056427
810,train/critic_loss,0.1349962204694748
810,train/entropy,-5.4739532470703125
810,train/episode_length_steps,922.191032232558
810,train/fps,56765.384918000935
820,train/reward,1.3559364080429077
820,train/actor_loss,0.023137249052524567
