step,tag,value
0,train/reward,0.4828471541404724
0,train/actor_loss,0.03515871614217758
0,train/critic_loss,2.7530014514923096
0,train/entropy,5.6792311668396
0,train/episode_length_steps,65.01164622693737
0,train/fps,1069.027546149922
10,train/reward,0.4615740180015564
10,train/actor_loss,-0.008293119259178638
10,train/critic_loss,0.3309158980846405
10,train/entropy,5.404167652130127
10,train/episode_length_steps,71.85448568467783
10,train/fps,9370.213572087678
20,train/reward,0.48516181111335754
20,train/actor_loss,-0.005636637564748526
20,train/critic_loss,0.4730374813079834
20,train/entropy,4.8663554191589355
20,train/episode_length_steps,77.27704666446911
20,train/fps,15023.52533368693
30,train/reward,0.5534758567810059
30,train/actor_loss,-0.0038690760266035795
30,train/critic_loss,0.9992319345474243
30,train/entropy,4.332004070281982
30,train/episode_length_steps,98.39272032234378
30,train/fps,19121.11115849718
40,train/reward,0.5818294286727905
40,train/actor_loss,-0.0030976037960499525
40,train/critic_loss,1.7656952142715454
40,train/entropy,3.8533425331115723
40,train/episode_length_steps,104.01457666778334
40,train/fps,22235.305362151816
50,train/reward,0.6454300880432129
50,train/actor_loss,-0.0031075042206794024
50,train/critic_loss,3.2296643257141113
50,train/entropy,3.432323455810547
50,train/episode_length_steps,139.41885754415316
50,train/fps,24694.017353183608
60,train/reward,0.7313060164451599
60,train/actor_loss,-0.0017159065464511514
60,train/critic_loss,4.902924060821533
60,train/entropy,3.0618908405303955
60,train/episode_length_steps,202.23069941013412
60,train/fps,26649.00089672595
70,train/reward,0.7767195105552673
70,train/actor_loss,0.00014925180585123599
70,train/critic_loss,3.527672290802002
70,train/entropy,2.7306602001190186
70,train/episode_length_steps,270.73659919931765
70,train/fps,28251.791231041894
80,train/reward,0.8526672720909119
80,train/actor_loss,-0.0013641172554343939
80,train/critic_loss,3.68574595451355
80,train/entropy,2.406280040740967
80,train/episode_length_steps,321.1517303931223
80,train/fps,29284.355075477422
90,train/reward,0.8952810764312744
90,train/actor_loss,0.0003740968822967261
90,train/critic_loss,4.334187984466553
90,train/entropy,2.106618881225586
90,train/episode_length_steps,282.402984646544
90,train/fps,30456.09321398914
100,train/reward,0.9458959102630615
100,train/actor_loss,0.00097987602930516
100,train/critic_loss,5.609842777252197
100,train/entropy,1.7854292392730713
100,train/episode_length_steps,368.04426882470955
100,train/fps,31461.10939283987
110,train/reward,0.9900474548339844
110,train/actor_loss,0.00011004314728779718
110,train/critic_loss,3.184969425201416
110,train/entropy,1.4865816831588745
110,train/episode_length_steps,481.6502541833958
110,train/fps,32302.894281387056
120,train/reward,1.02748703956604
120,train/actor_loss,0.002706854371353984
120,train/critic_loss,3.0024285316467285
120,train/entropy,1.1902832984924316
120,train/episode_length_steps,442.61481618517894
120,train/fps,33048.974259662915
130,train/reward,1.0525238513946533
130,train/actor_loss,0.002082607476040721
130,train/critic_loss,3.048225164413452
130,train/entropy,0.9130763411521912
130,train/episode_length_steps,442.61481618517894
130,train/fps,33738.08391068712
140,train/reward,1.0871531963348389
140,train/actor_loss,0.0022253382485359907
140,train/critic_loss,1.6190670728683472
140,train/entropy,0.641190230846405
140,train/episode_length_steps,503.8690648997133
140,train/fps,34348.972644782945
150,train/reward,1.1261634826660156
150,train/actor_loss,0.0007503434899263084
150,train/critic_loss,1.1788824796676636
150,train/entropy,0.35248205065727234
150,train/episode_length_steps,629.7570023566689
150,train/fps,34880.37368238838
160,train/reward,1.140656590461731
160,train/actor_loss,0.006310276687145233
160,train/critic_loss,0.9147558212280273
160,train/entropy,0.08601251989603043
160,train/episode_length_steps,642.0972501432806
160,train/fps,35366.46675604344
170,train/reward,1.1568101644515991
170,train/actor_loss,0.0048570651561021805
170,train/critic_loss,0.5920442938804626
170,train/entropy,-0.14078359305858612
170,train/episode_length_steps,595.4270735573396
170,train/fps,35779.90858869416
180,train/reward,1.1752455234527588
180,train/actor_loss,0.005098294001072645
180,train/critic_loss,0.6939500570297241
180,train/entropy,-0.4107765257358551
180,train/episode_length_steps,727.6479207318547
180,train/fps,36189.52820011505
190,train/reward,1.1996519565582275
190,train/actor_loss,0.009918310679495335
190,train/critic_loss,0.4443996846675873
190,train/entropy,-0.6891891956329346
190,train/episode_length_steps,682.2009508175753
190,train/fps,36566.25381156451
200,train/reward,1.2247878313064575
200,train/actor_loss,0.01067159790545702
200,train/critic_loss,0.4919840395450592
200,train/entropy,-0.9309053421020508
200,train/episode_length_steps,668.2877866491242
200,train/fps,36886.80723998593
210,train/reward,1.2311021089553833
210,train/actor_loss,0.014126813970506191
210,train/critic_loss,0.3517659604549408
210,train/entropy,-1.1606419086456299
210,train/episode_length_steps,744.1730667488358
210,train/fps,37193.68802691667
220,train/reward,1.249146819114685
220,train/actor_loss,0.007415056228637695
220,train/critic_loss,0.14586588740348816
220,train/entropy,-1.4078572988510132
220,train/episode_length_steps,909.3944711658012
220,train/fps,37489.88896147305
230,train/reward,1.2767949104309082
230,train/actor_loss,0.006879274733364582
230,train/critic_loss,0.145962193608284
230,train/entropy,-1.6944111585617065
230,train/episode_length_steps,909.3944711658012
230,train/fps,37759.1739108456
240,train/reward,1.2886252403259277
240,train/actor_loss,0.012298483401536942
240,train/critic_loss,0.16815979778766632
240,train/entropy,-1.966929316520691
240,train/episode_length_steps,818.5294606658226
240,train/fps,37999.87393037092
250,train/reward,1.2950104475021362
250,train/actor_loss,0.025655532255768776
250,train/critic_loss,0.08578679710626602
250,train/entropy,-2.225153684616089
250,train/episode_length_steps,761.4662389368028
250,train/fps,38229.374651612
260,train/reward,1.3166512250900269
260,train/actor_loss,0.03340699523687363
260,train/critic_loss,0.1837618052959442
260,train/entropy,-2.4701943397521973
260,train/episode_length_steps,1055.9161206631647
260,train/fps,38452.39794388198
270,train/reward,1.3146952390670776
270,train/actor_loss,0.030674997717142105
270,train/critic_loss,0.09136178344488144
270,train/entropy,-2.6844916343688965
270,train/episode_length_steps,962.8367577976614
270,train/fps,38660.619758041576
280,train/reward,1.3311607837677002
280,train/actor_loss,0.014400272630155087
280,train/critic_loss,0.05392913147807121
280,train/entropy,-2.9396872520446777
280,train/episode_length_steps,1258.7213161504762
280,train/fps,38826.35835007937
290,train/reward,1.3319518566131592
290,train/actor_loss,0.012717898003757
290,train/critic_loss,0.15529611706733704
290,train/entropy,-3.1745870113372803
290,train/episode_length_steps,1422.6687821455068
290,train/fps,38961.14821143548
300,train/reward,1.326272964477539
300,train/actor_loss,0.02184281125664711
300,train/critic_loss,0.2595810890197754
300,train/entropy,-3.275144338607788
300,train/episode_length_steps,1363.4717399177655
300,train/fps,39083.01747092707
310,train/reward,1.321803331375122
310,train/actor_loss,0.03384634107351303
310,train/critic_loss,0.4328378140926361
310,train/entropy,-3.3372364044189453
310,train/episode_length_steps,1258.7213161504762
310,train/fps,39202.49948616252
320,train/reward,1.321915864944458
320,train/actor_loss,0.015491791069507599
320,train/critic_loss,0.215688094496727
320,train/entropy,-3.3617234230041504
320,train/episode_length_steps,1022.9524966434373
320,train/fps,39326.2482363225
330,train/reward,1.3097834587097168
330,train/actor_loss,0.025774940848350525
330,train/critic_loss,0.4746038615703583
330,train/entropy,-3.367138624191284
330,train/episode_length_steps,935.352867349791
330,train/fps,39424.16014387753
340,train/reward,1.3074641227722168
340,train/actor_loss,0.024548364803195
340,train/critic_loss,0.10721929371356964
340,train/entropy,-3.4059722423553467
340,train/episode_length_steps,606.4468139037408
340,train/fps,39456.301283837434
350,train/reward,1.31270170211792
350,train/actor_loss,0.026756642386317253
350,train/critic_loss,0.2684454619884491
350,train/entropy,-3.462585210800171
350,train/episode_length_steps,909.3944711658012
350,train/fps,39540.89940647233
360,train/reward,1.3008317947387695
360,train/actor_loss,0.03476734086871147
360,train/critic_loss,0.1049363762140274
360,train/entropy,-3.5178725719451904
360,train/episode_length_steps,818.5294606658226
360,train/fps,39665.3992903323
370,train/reward,1.3068180084228516
370,train/actor_loss,0.04287439212203026
370,train/critic_loss,0.21247434616088867
370,train/entropy,-3.6429314613342285
370,train/episode_length_steps,909.3944711658012
370,train/fps,39778.96714652338
380,train/reward,1.3082284927368164
380,train/actor_loss,0.021070539951324463
380,train/critic_loss,0.11485960334539413
380,train/entropy,-3.727797031402588
380,train/episode_length_steps,727.6479207318547
380,train/fps,39885.574776401954
390,train/reward,1.3158400058746338
390,train/actor_loss,0.02205258049070835
390,train/critic_loss,0.12822389602661133
390,train/entropy,-3.8596999645233154
390,train/episode_length_steps,574.5468990738798
390,train/fps,39984.540014176644
400,train/reward,1.320798397064209
400,train/actor_loss,0.030824575573205948
400,train/critic_loss,0.2872796952724457
400,train/entropy,-3.860806703567505
400,train/episode_length_steps,696.70575204079
400,train/fps,40089.81848885256
410,train/reward,1.3158938884735107
410,train/actor_loss,0.019340895116329193
410,train/critic_loss,0.13471730053424835
410,train/entropy,-3.8500328063964844
410,train/episode_length_steps,761.4662389368028
410,train/fps,40184.16553702736
420,train/reward,1.3249249458312988
420,train/actor_loss,0.02553601935505867
420,train/critic_loss,0.13635364174842834
420,train/entropy,-3.9445838928222656
420,train/episode_length_steps,861.5728416085835
420,train/fps,40272.27485480351
430,train/reward,1.3292796611785889
430,train/actor_loss,0.02814078889787197
430,train/critic_loss,0.11239375174045563
430,train/entropy,-4.051383018493652
430,train/episode_length_steps,909.3944711658012
430,train/fps,40367.27087508802
440,train/reward,1.3386809825897217
440,train/actor_loss,0.013242530636489391
440,train/critic_loss,0.1619068831205368
440,train/entropy,-4.188994884490967
440,train/episode_length_steps,779.5822535408565
440,train/fps,40443.71068887371
450,train/reward,1.3419376611709595
450,train/actor_loss,0.02789936773478985
450,train/critic_loss,0.22985510528087616
450,train/entropy,-4.274447441101074
450,train/episode_length_steps,744.1730667488358
450,train/fps,40529.96546986527
460,train/reward,1.3423618078231812
460,train/actor_loss,0.0176697950810194
460,train/critic_loss,0.07408065348863602
460,train/entropy,-4.376011848449707
460,train/episode_length_steps,711.8407478776858
460,train/fps,40608.66264519626
470,train/reward,1.3422203063964844
470,train/actor_loss,0.04246601089835167
470,train/critic_loss,0.1739232838153839
470,train/entropy,-4.380889892578125
470,train/episode_length_steps,1055.9161206631647
470,train/fps,40688.41277336269
480,train/reward,1.3394346237182617
480,train/actor_loss,0.037065278738737106
480,train/critic_loss,0.20550020039081573
480,train/entropy,-4.343551158905029
480,train/episode_length_steps,1557.9499569433751
480,train/fps,40762.42626168109
490,train/reward,1.33417546749115
490,train/actor_loss,0.018728170543909073
490,train/critic_loss,0.22256635129451752
490,train/entropy,-4.32784366607666
490,train/episode_length_steps,798.5812704616955
490,train/fps,40835.312483793714
500,train/reward,1.325775384902954
500,train/actor_loss,0.03199660778045654
500,train/critic_loss,0.21082065999507904
500,train/entropy,-4.32811975479126
500,train/episode_length_steps,909.3944711658012
500,train/fps,40890.40874033144
510,train/reward,1.3286253213882446
510,train/actor_loss,0.020563973113894463
510,train/critic_loss,0.18271715939044952
510,train/entropy,-4.304839611053467
510,train/episode_length_steps,861.5728416085835
