epoch,env_steps,r_total,r_track,r_obs,crash_rate,entropy,actor_loss,critic_loss,enc_loss,density_mult
0,0,0.977576732635498,0,0,0.006927490234375,5.679457664489746,-0.003453605342656374,6.950079441070557,0.8413153290748596,0.5
100,3276800,1.6240026950836182,0,0,0.001953125,2.9507999420166016,-0.0023977230302989483,3.6251769065856934,0.05632036179304123,0.5
200,6553600,1.7971569299697876,0,0,0.00103759765625,1.5622754096984863,-0.0037196585908532143,1.7677810192108154,0.04319708049297333,0.5
300,9830400,1.8328628540039062,0,0,0.00067138671875,0.7722320556640625,0.0003509997623041272,1.215924620628357,0.04048707336187363,0.5
400,13107200,1.831840991973877,0,0,0.000762939453125,0.44230222702026367,-0.0003641065559349954,1.5540950298309326,0.03826463967561722,0.53884
500,16384000,1.8715085983276367,0,0,0.00103759765625,-0.024057865142822266,0.0013429075479507446,1.9919886589050293,0.03665267303586006,0.5798
600,19660800,1.8697857856750488,0,0,0.0009765625,-0.3232097625732422,-0.0033871775958687067,2.4097394943237305,0.034778300672769547,0.62076
700,22937600,1.8935920000076294,0,0,0.000701904296875,-0.6093354225158691,0.00227041682228446,1.9714219570159912,0.029914509505033493,0.66172
800,26214400,1.8384490013122559,0,0,0.000640869140625,-0.8271965980529785,-0.0011859353398904204,3.199221611022949,0.03040097840130329,0.70268
900,29491200,1.8924881219863892,0,0,0.00067138671875,-1.0129752159118652,0.0015411606291309,2.2764248847961426,0.026671037077903748,0.74364
1000,32768000,1.8730870485305786,0,0,0.00091552734375,-1.1377887725830078,0.005024018231779337,2.667128562927246,0.031961891800165176,0.7846
1100,36044800,1.880108118057251,0,0,0.001220703125,-1.4522509574890137,-0.008235597051680088,3.0535225868225098,0.025884155184030533,0.8255600000000001
1200,39321600,1.9298008680343628,0,0,0.00067138671875,-1.5822396278381348,-6.085541099309921e-05,2.697951078414917,0.0243348628282547,0.86652
1300,42598400,1.9270305633544922,0,0,0.000732421875,-1.693274974822998,0.0022280917037278414,3.518545150756836,0.023008078336715698,0.9074800000000001
1300,42598400,1.9075956344604492,0,0,0.001190185546875,-1.6745667457580566,-0.0038589215837419033,2.7198362350463867,0.024080049246549606,0.9074800000000001
1400,45875200,1.9027526378631592,0,0,0.00091552734375,-1.805708408355713,0.0015555864665657282,2.309971332550049,0.024054914712905884,0.94844
1500,49152000,1.9193241596221924,0,0,0.000701904296875,-1.8925414085388184,-0.005564074497669935,1.886693000793457,0.02329297736287117,0.9894000000000001
1600,52428800,1.8752000331878662,0,0,0.001007080078125,-2.024876117706299,0.003943847957998514,3.051506519317627,0.022023526951670647,1.0
1700,55705600,1.866534948348999,0,0,0.001007080078125,-2.276153564453125,-0.0004008249379694462,2.3081490993499756,0.02586982399225235,1.0
1800,58982400,1.9086618423461914,0,0,0.00067138671875,-2.479952335357666,-0.002598454477265477,3.6066670417785645,0.026646580547094345,1.0
1900,62259200,1.9014654159545898,0,0,0.000762939453125,-2.5095791816711426,0.005774820223450661,3.2971649169921875,0.022977028042078018,1.0
2000,65536000,1.8771600723266602,0,0,0.001129150390625,-2.561645984649658,0.005196735728532076,3.9180567264556885,0.01971133053302765,1.0
2100,68812800,1.8887133598327637,0,0,0.00103759765625,-2.6119580268859863,0.001906322780996561,3.0102310180664062,0.019926555454730988,1.0
2200,72089600,1.8967540264129639,0,0,0.00091552734375,-2.720951557159424,-0.0031810489017516375,2.657104253768921,0.02339892089366913,1.0
2300,75366400,1.8892419338226318,0,0,0.001129150390625,-2.7828965187072754,0.0031260536052286625,3.223609447479248,0.019215743988752365,1.0
2400,78643200,1.9060969352722168,0,0,0.001007080078125,-2.7632222175598145,0.005420786794275045,4.610998153686523,0.017804570496082306,1.0
2500,81920000,1.9040453433990479,0,0,0.000732421875,-2.6761603355407715,0.0009854594245553017,3.4789886474609375,0.02086126059293747,1.0
2600,85196800,1.8788833618164062,0,0,0.00067138671875,-2.7936768531799316,-0.0017821828369051218,3.0780797004699707,0.018871329724788666,1.0
2700,88473600,1.882502555847168,0,0,0.000762939453125,-2.7970738410949707,0.0006811970379203558,3.154728889465332,0.016693171113729477,1.0
