step,tag,value
0,train/reward,0.4825388491153717
0,train/actor_loss,0.021111397072672844
0,train/critic_loss,2.808838367462158
0,train/entropy,5.678606033325195
0,train/episode_length_steps,64.18393108902268
0,train/fps,3523.874846596085
10,train/reward,0.4664308428764343
10,train/actor_loss,-0.010815477930009365
10,train/critic_loss,0.5476940274238586
10,train/entropy,5.288023471832275
10,train/episode_length_steps,64.78670700778007
10,train/fps,25516.582072363297
20,train/reward,0.5284121036529541
20,train/actor_loss,-0.00845938641577959
20,train/critic_loss,1.2267918586730957
20,train/entropy,4.635525703430176
20,train/episode_length_steps,77.14060566600008
20,train/fps,35884.11244556212
30,train/reward,0.5996499061584473
30,train/actor_loss,-0.005954486317932606
30,train/critic_loss,3.1070213317871094
30,train/entropy,4.0508646965026855
30,train/episode_length_steps,98.91247950451803
30,train/fps,42671.32387093781
40,train/reward,0.6532134413719177
40,train/actor_loss,-0.001726537593640387
40,train/critic_loss,7.965244293212891
40,train/entropy,3.556852102279663
40,train/episode_length_steps,132.78074585823595
40,train/fps,46190.84797142622
50,train/reward,0.7476043701171875
50,train/actor_loss,-0.00048713872092776
50,train/critic_loss,12.959006309509277
50,train/entropy,3.1185710430145264
50,train/episode_length_steps,175.90462258967506
50,train/fps,48553.87215321435
60,train/reward,0.8239856958389282
60,train/actor_loss,-0.000809927296359092
60,train/critic_loss,12.109594345092773
60,train/entropy,2.7228026390075684
60,train/episode_length_steps,219.50289667726418
60,train/fps,50880.55500728871
70,train/reward,0.8976945877075195
70,train/actor_loss,-0.0007943377713672817
70,train/critic_loss,15.156559944152832
70,train/entropy,2.3656132221221924
70,train/episode_length_steps,317.26492845350543
70,train/fps,52116.289086074765
80,train/reward,0.9580609202384949
80,train/actor_loss,0.0001304904872085899
80,train/critic_loss,14.665492057800293
80,train/entropy,2.0235984325408936
80,train/episode_length_steps,374.35123724180636
80,train/fps,53514.484470516756
90,train/reward,1.0015491247177124
90,train/actor_loss,0.0014158254489302635
90,train/critic_loss,11.598681449890137
90,train/entropy,1.6776660680770874
90,train/episode_length_steps,476.3983909458252
90,train/fps,54643.103563698314
100,train/reward,1.0384330749511719
100,train/actor_loss,0.0015857585240155458
100,train/critic_loss,9.60167121887207
100,train/entropy,1.341262698173523
100,train/episode_length_steps,410.71525620670366
100,train/fps,55251.15192473157
110,train/reward,1.0738383531570435
110,train/actor_loss,0.0015402666758745909
110,train/critic_loss,8.496086120605469
110,train/entropy,1.0256012678146362
110,train/episode_length_steps,464.5783928400484
110,train/fps,56079.95489706362
120,train/reward,1.1070806980133057
120,train/actor_loss,0.0031177906785160303
120,train/critic_loss,5.4770684242248535
120,train/entropy,0.7234922051429749
120,train/episode_length_steps,536.8919200911878
120,train/fps,56664.72074860898
130,train/reward,1.1302306652069092
130,train/actor_loss,0.004364600870758295
130,train/critic_loss,4.06152868270874
130,train/entropy,0.4381495416164398
130,train/episode_length_steps,584.8006652107567
130,train/fps,57577.82232042066
140,train/reward,1.1482295989990234
140,train/actor_loss,0.0046549043618142605
140,train/critic_loss,3.0477874279022217
140,train/entropy,0.1566682755947113
140,train/episode_length_steps,564.6465114329891
140,train/fps,58110.93247582443
150,train/reward,1.168438196182251
150,train/actor_loss,0.012101264670491219
150,train/critic_loss,1.9570581912994385
150,train/entropy,-0.11143787950277328
150,train/episode_length_steps,626.745699462584
150,train/fps,58581.832314600535
160,train/reward,1.196274757385254
160,train/actor_loss,0.003190260846167803
160,train/critic_loss,0.9591987729072571
160,train/entropy,-0.38208916783332825
160,train/episode_length_steps,595.4270735573396
160,train/fps,59249.79280788399
170,train/reward,1.2212681770324707
170,train/actor_loss,0.004522641189396381
170,train/critic_loss,0.8966973423957825
170,train/entropy,-0.6601197123527527
170,train/episode_length_steps,689.3770629978882
170,train/fps,59605.414420887806
180,train/reward,1.2394615411758423
180,train/actor_loss,0.006186824757605791
